"MISSED_PROMO_ID","SYS_ID","VER_ID","VEND_NO","VEND_NAME","INV_NO","INV_DATE","PO_NO","PO_DATE","CAT_CD","PROD_CODE","ITEM_NO","ITEM_DESC","PACKSIZE","PACK_CNT","QTY_ORD","CASE_QTY","LISTPRICE","OI_AMT","BB_AMT","NET_COST","EXT_AMT","WHSE","RECV_NO","RECV_DATE","ITEM_RECV","CASE_RECV","DEAL_NO","DEAL_TYPE","DEAL_FIRST_ORD","DEAL_LAST_ORD","DEAL_FIRST_SHIP","DEAL_LAST_SHIP","DEAL_OI_AMT","DEAL_BB_AMT","NET_COST_SB","EXT_AMT_SB","CLAIM_AMT"
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","105384","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,7104,148,0.23,0.03,0,0.2,1420.8,"108","0055101299","2003/09/08",7104,148,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","151202","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,6864,143,0.23,0.03,0,0.2,1372.8,"350","0055101299","2003/09/08",6864,143,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","127672","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,7632,159,0.23,0.03,0,0.2,1526.4,"330","0055101299","2003/09/08",7632,159,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","105386","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,3408,71,0.23,0.03,0,0.2,681.6,"315","0055101299","2003/09/08",3408,71,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","127671","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,96,2,0.23,0,0,0.23,22.08,"252","0055101299","2003/09/08",96,2,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0.2,19.2,2.88
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","174183","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,1728,36,0.23,0.03,0,0.2,345.6,"370","0055101299","2003/09/08",1728,36,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","151200","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,8736,182,0.23,0.03,0,0.2,1747.2,"135","0055101299","2003/09/08",8736,182,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","127670","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,9696,202,0.23,0.03,0,0.2,1939.2,"121","0055101299","2003/09/08",9696,202,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
284,"518","82A","000053","CRUNCHIES","00059183","2003/09/13","174181","2003/09/04","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,5424,113,0.23,0.03,0,0.2,1084.8,"141","0055101299","2003/09/08",5424,113,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
285,"518","82A","000053","CRUNCHIES","00059185","2003/09/23","127674","2003/09/08","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,624,13,0.23,0.03,0,0.2,124.8,"252","0055101300","2003/09/14",624,13,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
285,"518","82A","000053","CRUNCHIES","00059185","2003/09/23","105389","2003/09/08","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,384,8,0.23,0,0,0.23,88.32,"315","0055101300","2003/09/14",384,8,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0.2,76.8,11.52
285,"518","82A","000053","CRUNCHIES","00059185","2003/09/23","151204","2003/09/08","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,624,13,0.23,0.03,0,0.2,124.8,"271","0055101300","2003/09/14",624,13,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
285,"518","82A","000053","CRUNCHIES","00059185","2003/09/23","105388","2003/09/08","CDY","0038000003180","00307420","CRUNCHIES MILK CHOCOLATE BAR","48 X 1.55 OZ",48,384,8,0.23,0.03,0,0.2,76.8,"240","0055101300","2003/09/14",384,8,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.03,0,0,0,0
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","127666","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,240,10,0.985,0.05,0,0.935,224.4,"330","0055101297","2003/09/02",240,10,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,210,14.4
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","174177","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,816,34,0.985,0.05,0,0.935,762.96,"141","0055101297","2003/09/02",816,34,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,714,48.96
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","127664","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,1128,47,0.985,0.05,0,0.935,1054.68,"121","0055101297","2003/09/02",1128,47,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,987,67.68
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","105379","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,1008,42,0.985,0.05,0,0.935,942.48,"108","0055101297","2003/09/02",1008,42,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,882,60.48
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","151194","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,984,41,0.985,0.05,0,0.935,920.04,"135","0055101297","2003/09/02",984,41,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,861,59.04
390,"518","82A","000053","CRUNCHIES","00059179","2003/09/12","174178","2003/08/28","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,144,6,0.985,0.05,0,0.935,134.64,"370","0055101297","2003/09/02",144,6,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,126,8.64
391,"518","82A","000053","CRUNCHIES","00059181","2003/09/15","151197","2003/09/01","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,4248,177,0.985,0.11,0,0.875,3717,"135","0055101298","2003/09/06",4248,177,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0,0,0
391,"518","82A","000053","CRUNCHIES","00059181","2003/09/15","151198","2003/09/01","CDY","0038000003190","00307462","CRUNCHIES MILK CHOCOLATE BAR","24 X 6 OZ",24,240,10,0.985,0,0,0.985,236.4,"271","0055101298","2003/09/06",240,10,"1028502","OI","2003/08/30","2003/09/06","2003/09/12","2003/09/19",0.11,0,0.875,210,26.4
