zipcode,city,state,state_name,latitude,longitude,population_2010,land_sq_miles,density_per_sq_mile
36310,Abbeville,AL,Alabama,31.599256,-85.2094,6783,215.498,31.47593017
35005,Adamsville,AL,Alabama,33.592585,-86.95969,7942,34.509,230.1428613
35540,Addison,AL,Alabama,34.223057,-87.17232,2415,73.736,32.75198004
35006,Adger,AL,Alabama,33.451714,-87.23957,3121,99.809,31.26972518
35441,Akron,AL,Alabama,32.871514,-87.73326,1060,66.738,15.88300518
35007,Alabaster,AL,Alabama,33.232422,-86.80871,26225,37.384,701.5033169
36720,Alberta,AL,Alabama,32.170653,-87.36217,784,49.844,15.72907471
35951,Albertville,AL,Alabama,34.313014,-86.19282,13098,72.828,179.84841
35950,Albertville,AL,Alabama,34.261878,-86.22835,20826,44.574,467.2230448
35010,Alexander City,AL,Alabama,32.903432,-85.92669,20816,217.595,95.66396287
36250,Alexandria,AL,Alabama,33.766057,-85.88969,4603,17.643,260.8966729
35442,Aliceville,AL,Alabama,33.095505,-88.18653,4972,235.601,21.10347579
36501,Alma,AL,Alabama,31.463968,-87.73883,0,0,0
35014,Alpine,AL,Alabama,33.35596,-86.2772,4546,95.491,47.60658072
35952,Altoona,AL,Alabama,34.057496,-86.32225,7727,109.635,70.47931774
36420,Andalusia,AL,Alabama,31.279043,-86.48699,10673,265.932,40.13432005
35610,Anderson,AL,Alabama,34.944113,-87.24921,2252,48.35,46.5770424
36206,Anniston,AL,Alabama,33.719701,-85.83166,11427,15.974,715.3499437
36201,Anniston,AL,Alabama,33.658803,-85.85178,20156,37.311,540.2160221
36207,Anniston,AL,Alabama,33.651673,-85.75895,19801,73.858,268.0955347
36205,Anniston,AL,Alabama,33.711314,-85.78527,635,4.314,147.1951785
35016,Arab,AL,Alabama,34.323715,-86.49278,16778,74.347,225.6715133
35739,Ardmore,AL,Alabama,34.972309,-86.81352,5146,27.12,189.7492625
36311,Ariton,AL,Alabama,31.589226,-85.69097,2770,119.76,23.12959252
35541,Arley,AL,Alabama,34.059527,-87.18344,3597,67.072,53.62893607
36722,Arlington,AL,Alabama,32.079894,-87.57551,472,32.213,14.6524695
36312,Ashford,AL,Alabama,31.178688,-85.2429,6187,77.076,80.27142042
36251,Ashland,AL,Alabama,33.243964,-85.84503,5103,144.453,35.32636913
35953,Ashville,AL,Alabama,33.825516,-86.24231,7319,114.098,64.14661081
35614,Athens,AL,Alabama,34.860179,-87.06231,7456,63.594,117.2437651
35613,Athens,AL,Alabama,34.808165,-86.89623,20546,76.923,267.0982671
35611,Athens,AL,Alabama,34.784028,-87.02767,25251,114.035,221.4320165
36502,Atmore,AL,Alabama,31.090528,-87.49715,18355,328.211,55.9243901
35954,Attalla,AL,Alabama,34.043263,-86.08904,12416,104.801,118.472152
36830,Auburn,AL,Alabama,32.577135,-85.47282,33201,99.748,332.8487789
36832,Auburn,AL,Alabama,32.589553,-85.53991,22071,70.862,311.4645367
36849,Auburn University,AL,Alabama,32.602434,-85.4858,3150,0.387,8139.534884
36003,Autaugaville,AL,Alabama,32.439967,-86.68801,1975,93.377,21.15081872
36505,Axis,AL,Alabama,30.930065,-88.00103,1481,21.585,68.61246236
35019,Baileyton,AL,Alabama,34.29254,-86.63505,2117,29.92,70.75534759
36005,Banks,AL,Alabama,31.859531,-85.75558,1522,140.989,10.79516842
35542,Bankston,AL,Alabama,33.703682,-87.67155,1021,55.323,18.45525369
36507,Bay Minette,AL,Alabama,30.875697,-87.76592,19090,334.807,57.01792376
36509,Bayou La Batre,AL,Alabama,30.401384,-88.24671,1983,6.541,303.1646537
35543,Bear Creek,AL,Alabama,34.247898,-87.72171,1137,37.387,30.41164041
36425,Beatrice,AL,Alabama,31.737883,-87.17442,1008,150.133,6.714046878
35544,Beaverton,AL,Alabama,33.939291,-88.01367,673,71.77,9.377177093
35545,Belk,AL,Alabama,33.641227,-87.92911,100,1.282,78.00312012
36901,Bellamy,AL,Alabama,32.451618,-88.131,329,10.776,30.53080921
36313,Bellwood,AL,Alabama,31.174249,-85.79562,285,3.925,72.61146497
35546,Berry,AL,Alabama,33.628719,-87.58251,3901,221.136,17.64072788
35020,Bessemer,AL,Alabama,33.405559,-86.95141,27139,19.003,1428.142925
35022,Bessemer,AL,Alabama,33.346817,-86.95252,18888,65.475,288.4765178
35023,Bessemer,AL,Alabama,33.443039,-87.0193,25436,90.423,281.3001117
36006,Billingsley,AL,Alabama,32.65279,-86.7143,1313,71.471,18.37108757
35207,Birmingham,AL,Alabama,33.560652,-86.81897,9010,10.398,866.5127909
35204,Birmingham,AL,Alabama,33.519855,-86.83534,10337,4.863,2125.642607
35234,Birmingham,AL,Alabama,33.538504,-86.80602,6311,3.562,1771.75744
35224,Birmingham,AL,Alabama,33.517706,-86.93189,6094,15.756,386.7732927
35222,Birmingham,AL,Alabama,33.524254,-86.77335,7884,3.733,2111.974283
35218,Birmingham,AL,Alabama,33.506456,-86.89524,7353,2.606,2821.565618
35235,Birmingham,AL,Alabama,33.609779,-86.65507,19484,14.025,1389.233512
35213,Birmingham,AL,Alabama,33.507637,-86.74161,13185,6.351,2076.051016
35243,Birmingham,AL,Alabama,33.437667,-86.74586,17328,12.136,1427.818062
35206,Birmingham,AL,Alabama,33.568573,-86.72163,17177,10.226,1679.737923
35228,Birmingham,AL,Alabama,33.454262,-86.92273,10419,4.323,2410.131853
35212,Birmingham,AL,Alabama,33.542004,-86.74896,11539,5.867,1966.763252
35244,Birmingham,AL,Alabama,33.356981,-86.81577,32390,21.689,1493.383743
35208,Birmingham,AL,Alabama,33.494545,-86.88115,14855,3.534,4203.452179
35223,Birmingham,AL,Alabama,33.488355,-86.73402,11043,8.223,1342.940533
35242,Birmingham,AL,Alabama,33.409582,-86.69684,49545,52.852,937.4290472
35205,Birmingham,AL,Alabama,33.497055,-86.8057,19686,3.626,5429.123001
35211,Birmingham,AL,Alabama,33.479306,-86.85878,26236,17.661,1485.533096
35217,Birmingham,AL,Alabama,33.590003,-86.76708,13729,18.076,759.5153795
